word,part of speech,definition
abate,verb,"to reduce in amount, degree, intensity, etc.; lessen; diminish"
abbreviate,verb,"to shorten (a word or phrase) by omitting letters, substituting shorter forms, etc., so that the shortened form can represent the whole word or phrase, as ft. for foot, ab. for about, R.I. for Rhode Island, NW for Northwest, or Xn for Christian."
abide,verb,to remain; continue; stay
abnormally,adjective,"not normal, average, typical, or usual; deviating from a standard"
abort,verb,to bring forth a fetus from the uterus before the fetus is viable; miscarry.
abscond,verb,"to depart in a sudden and secret manner, especially to avoid capture and legal prosecution"
absentmindedly,adjective,"so lost in thought that one does not realize what one is doing, what is happening, etc.; preoccupied to the extent of being unaware of one's immediate surroundings."
absorb,verb,to suck up or drink in (a liquid); soak up
abstain,verb,"to hold oneself back voluntarily, especially from something regarded as improper or unhealthy (usually followed by from)"
abuse,verb,to use wrongly or improperly; misuse
accede,verb,"to give consent, approval, or adherence; agree; assent; to accede to a request; to accede to the terms of a contract."
accelerate,verb,"to cause faster or greater activity, development, progress, advancement, etc., in"
accentuate,verb,to give emphasis or prominence to.
accent,noun,"prominence of a syllable in terms of differential loudness, or of pitch, or length, or of a combination of these."
accept,verb,to take or receive (something offered); receive with approval or favor
accidentally,adjective,happening by chance or accident; not planned; unexpected
accommodate,verb,to do a kindness or a favor to; oblige
accompany,verb,to go along or in company with; join in action
accost,verb,to confront boldly
account,noun,an oral or written description of particular events or situations; narrative
accuse,verb,"to charge with the fault, offense, or crime (usually followed by of)"
ache,verb,"to have or suffer a continuous, dull pain"
achiever,verb,to bring to a successful end; carry through; accomplish
achieve,verb,to bring to a successful end; carry through; accomplish
acidly,noun,"Chemistry. a compound usually having a sour taste and capable of neutralizing alkalis and reddening blue litmus paper, containing hydrogen that can be replaced by a metal or an electropositive group to form a salt, or containing an atom that can accept a pair of electrons from a base. Acids are proton donors that yield hydronium ions in water solution, or electron-pair acceptors that combine with electron-pair donors or bases."
acknowledge,verb,"to admit to be real or true; recognize the existence, truth, or fact of"
acoustics,noun,Physics. the branch of physics that deals with sound and sound waves.
acquiesce,verb,to assent tacitly; submit or comply silently or without protest; agree; consent
acquire,verb,to come into possession or ownership of; get as one's own
action,noun,the process or state of acting or of being active
activity,noun,the state or quality of being active
actor,noun,"a person who acts in stage plays, motion pictures, television broadcasts, etc."
actually,adverb,as an actual or existing fact; really.
act,noun,"anything done, being done, or to be done; deed; performance"
act,noun,"anything done, being done, or to be done; deed; performance"
adapt,verb,to make suitable to requirements or conditions; adjust or modify fittingly
addition,noun,the act or process of adding or uniting.
address,noun,"a speech or written statement, usually formal, directed to a particular group of persons"
add,verb,"to unite or join so as to increase the number, quantity, size, or importance"
adhere,verb,to stay attached; stick fast; cleave; cling (usually followed by to)
adjustment,noun,"the act of adjusting; adaptation to a particular condition, position, or purpose."
adjust,verb,"to change (something) so that it fits, corresponds, or conforms; adapt; accommodate"
administer,verb,"to manage (affairs, a government, etc.); have executive charge of"
admire,verb,"to regard with wonder, pleasure, or approval."
admit,verb,to allow to enter; grant or afford entrance to
admonish,verb,"to caution, advise, or counsel against something."
adore,verb,"to regard with the utmost esteem, love, and respect; honor."
adorn,verb,"to decorate or add beauty to, as by ornaments"
advance,verb,to move or bring forward
adventurously,adjective,inclined or willing to engage in adventures; enjoying adventures.
advertisement,noun,"a paid announcement, as of goods for sale, in newspapers or magazines, on radio or television, etc."
advertise,verb,"to announce or praise (a product, service, etc.) in some public medium of communication in order to induce people to buy or use it"
advice,noun,"an opinion or recommendation offered as a guide to action, conduct, etc."
advise,verb,to give counsel to; offer an opinion or suggestion as worth following
advocate,verb,to speak or write in favor of; support or urge by argument; recommend publicly
affirm,verb,to state or assert positively; maintain as true
affix,verb,"to fasten, join, or attach (usually followed by to)"
