player name,time taken,score
hinttalnaka,1.73,0
tal,6.79,2.0
tal,0.27,5.0
g,6.57,0
j,9.92,0
j,1.19,0
j,2.07,0
j,1.63,2
j,4.06,0
1,10.83,1
daw,8.91,0
l[[,13.75,0
l[[,29.95,1
o],7.79,0
l,11.79,1
;,9.54,2
",",5.59,3
1,1.76,2
1,5.76,0
;,7.03,1
r,8.37,0
k,3.61,0
l,13.2,0
l,14.71,1
tal,12.3,1
j,4.31,1
j,10.09,1
j,2.64,0
j,5.94,0
j,4.73,0
j,1.25,0
j,15.06,0
;,2.86,0
j,29.89,2
j,2.98,0
k,12.83,0
k,2.98,0
joblaew,6.01,0
onmg,3.84,0
playernum1,3.69,0
thiti,1.31,1
thiti,0.98,0
